2025-07-21 15:54:16 | __main__ | INFO | Loading data for AAPL from 2025-01-01 to 2025-07-21...
2025-07-21 15:54:20 | __main__ | INFO | Loading data for GOOGL from 2025-01-01 to 2025-07-21...
2025-07-21 15:54:22 | __main__ | INFO | Loading data for MSFT from 2025-01-01 to 2025-07-21...
2025-07-21 15:54:23 | __main__ | INFO | Loading data for NVDA from 2025-01-01 to 2025-07-21...
2025-07-21 15:54:25 | __main__ | INFO | Loading data for AMZN from 2025-01-01 to 2025-07-21...
2025-07-21 15:54:26 | __main__ | INFO | Loading data for META from 2025-01-01 to 2025-07-21...
2025-07-21 15:54:26 | __main__ | INFO | Exported AAPL data to data/raw/AAPL.csv
2025-07-21 15:54:26 | __main__ | INFO | Exported GOOGL data to data/raw/GOOGL.csv
2025-07-21 15:54:26 | __main__ | INFO | Exported MSFT data to data/raw/MSFT.csv
2025-07-21 15:54:27 | __main__ | INFO | Exported NVDA data to data/raw/NVDA.csv
2025-07-21 15:54:27 | __main__ | INFO | Exported AMZN data to data/raw/AMZN.csv
2025-07-21 15:54:27 | __main__ | INFO | Exported META data to data/raw/META.csv
2025-07-21 16:01:52 | __main__ | INFO | Starting data preparation flow...
2025-07-21 16:01:52 | __main__ | INFO | Loading data for AAPL from 2025-01-01 to 2025-07-21...
2025-07-21 16:01:54 | __main__ | INFO | Loading data for GOOGL from 2025-01-01 to 2025-07-21...
2025-07-21 16:01:55 | __main__ | INFO | Loading data for MSFT from 2025-01-01 to 2025-07-21...
2025-07-21 16:01:56 | __main__ | INFO | Loading data for NVDA from 2025-01-01 to 2025-07-21...
2025-07-21 16:01:57 | __main__ | INFO | Loading data for AMZN from 2025-01-01 to 2025-07-21...
2025-07-21 16:01:58 | __main__ | INFO | Loading data for META from 2025-01-01 to 2025-07-21...
2025-07-21 16:01:59 | __main__ | INFO | Exported AAPL data to data/raw/AAPL.csv
2025-07-21 16:01:59 | __main__ | INFO | Exported GOOGL data to data/raw/GOOGL.csv
2025-07-21 16:01:59 | __main__ | INFO | Exported MSFT data to data/raw/MSFT.csv
2025-07-21 16:01:59 | __main__ | INFO | Exported NVDA data to data/raw/NVDA.csv
2025-07-21 16:01:59 | __main__ | INFO | Exported AMZN data to data/raw/AMZN.csv
2025-07-21 16:01:59 | __main__ | INFO | Exported META data to data/raw/META.csv
2025-07-21 16:01:59 | __main__ | INFO | Data preparation flow completed successfully.
2025-07-21 16:07:24 | __main__ | INFO | Starting data preparation flow...
2025-07-21 16:07:24 | __main__ | INFO | Loading stock data from 2025-01-01 to 2025-07-21 for 6 stocks.
2025-07-21 16:07:32 | __main__ | INFO | Exported AAPL data to data/raw/AAPL.csv
2025-07-21 16:07:32 | __main__ | INFO | Exported GOOGL data to data/raw/GOOGL.csv
2025-07-21 16:07:32 | __main__ | INFO | Exported MSFT data to data/raw/MSFT.csv
2025-07-21 16:07:32 | __main__ | INFO | Exported NVDA data to data/raw/NVDA.csv
2025-07-21 16:07:32 | __main__ | INFO | Exported AMZN data to data/raw/AMZN.csv
2025-07-21 16:07:32 | __main__ | INFO | Exported META data to data/raw/META.csv
2025-07-21 16:07:32 | __main__ | INFO | Data preparation flow completed successfully.
2025-07-21 16:18:10 | __main__ | INFO | Starting data preparation flow...
2025-07-21 16:18:10 | __main__ | INFO | Loading stock data from 2025-01-01 to 2025-07-21 for 6 stocks.
2025-07-21 16:20:39 | __main__ | INFO | Starting data preparation flow...
2025-07-21 16:20:39 | __main__ | INFO | Loading stock data from 2025-01-01 to 2025-07-21 for 6 stocks.
2025-07-22 02:58:33 | __main__ | INFO | Starting data preparation flow...
2025-07-22 02:58:33 | __main__ | INFO | Loading stock data from 2025-01-01 to 2025-07-22 for 6 stocks.
2025-07-22 03:00:33 | __main__ | INFO | Starting data preparation flow...
2025-07-22 03:00:33 | __main__ | INFO | Loading stock data from 2025-01-01 to 2025-07-22 for 6 stocks.
2025-07-22 03:04:16 | __main__ | INFO | Starting data preparation flow...
2025-07-22 03:04:16 | __main__ | INFO | Loading stock data from 2025-01-01 to 2025-07-22 for 6 stocks.
2025-07-22 03:04:20 | __main__ | INFO | Exported AAPL data to data/raw/AAPL.csv
2025-07-22 03:04:20 | __main__ | INFO | Exported GOOGL data to data/raw/GOOGL.csv
2025-07-22 03:04:20 | __main__ | INFO | Exported MSFT data to data/raw/MSFT.csv
2025-07-22 03:04:20 | __main__ | INFO | Exported NVDA data to data/raw/NVDA.csv
2025-07-22 03:04:20 | __main__ | INFO | Exported AMZN data to data/raw/AMZN.csv
2025-07-22 03:04:20 | __main__ | INFO | Exported META data to data/raw/META.csv
2025-07-22 03:04:20 | __main__ | INFO | Data preparation flow completed successfully.
2025-07-22 03:33:06 | __main__ | INFO | Starting data preparation flow...
2025-07-22 03:33:06 | __main__ | INFO | Loading stock data from 2025-01-01 to 2025-07-22 for 6 stocks.
2025-07-22 03:33:10 | __main__ | INFO | Exported AAPL data to data/raw/AAPL.csv
2025-07-22 03:33:10 | __main__ | INFO | Exported GOOGL data to data/raw/GOOGL.csv
